t,r,g,b
4.2862401330725834,182.20513084978683,179.8703242104948,180.60930305166477
4.319726384112213,182.15817394290315,179.8741671205201,180.6095716735773
4.353212635151842,182.11862684658612,179.86943829326307,180.59971429815212
4.386698886191472,182.14933078582126,179.8926832292569,180.63957329017225
4.420185137231102,182.13757951431867,179.87753780182118,180.63359149375773
4.453671388270731,182.16546580344993,179.9023157057741,180.63461064715807
4.487157639310361,182.2131648006216,179.9535408641068,180.69922708934033
4.52064389034999,182.23674052502813,179.98974966817195,180.75472420129958
4.55413014138962,182.23710522381415,180.01557150334344,180.79433826944057
4.58761639242925,182.2664938359738,180.04335870805414,180.84379797334964
4.621102643468879,182.3318959266286,180.12609758497896,180.94652646739405
4.6545888945085085,182.2916182281804,180.1764896825832,180.99887118878704
4.688075145548138,182.29914000818874,180.19122714499426,181.01627496097944
4.721561396587767,182.25821499074485,180.1968885829554,181.02801952673238
4.755047647627397,182.26796125875995,180.23134466694782,181.0786044167689
4.788533898667027,182.27015807564203,180.24363644880327,181.091501480123
4.822020149706656,182.25033136409786,180.2934445018274,181.1503864461423
4.855506400746286,182.27316393996938,180.3358224516416,181.19348463481717
4.888992651785916,182.29790971755625,180.35555872959165,181.22763245233426
4.922478902825545,182.29184924327222,180.36241618628043,181.25280599838158
4.955965153865175,182.32113860365655,180.38224825953486,181.28324545035323
4.989451404904804,182.30752614305626,180.3612444150684,181.27562503980388
5.022937655944434,182.19408735600717,180.32525396411896,181.56481909898838
5.0564239069840635,182.1386486578436,180.31729697977056,181.53162198694585
5.0899101580236925,182.15984531982264,180.32317037211783,181.54373575935966
5.123396409063322,182.21871063148112,180.38419291803444,181.58657966182903
5.156882660102952,182.17438166319394,180.33087952509987,181.53298131132735
5.190368911142581,182.16005967217723,180.35037569585205,181.5412237132818
5.223855162182211,182.1915540688108,180.38500757273263,181.57479750737647
5.257341413221841,182.15376040051441,180.3382298006104,181.53945287174807
5.29082766426147,182.11934967613826,180.3173114013957,181.5179703443562
5.3243139153011,182.19072062821186,180.3575265126612,181.56586173477845
5.357800166340729,182.22070487110935,180.37118007833317,181.58578336394962
5.391286417380359,182.2700263338412,180.40289180499047,181.62757082086492
5.424772668419989,182.33652670865573,180.46989734318754,181.68657509483708
5.458258919459618,182.28517159005625,180.44936996583522,181.63070341735374
5.4917451704992475,182.3441212072389,180.47491125885324,181.66559720049327
5.525231421538877,182.35184859606204,180.4604324178448,181.64832015759802
5.558717672578506,182.3310117516541,180.46016201663423,181.64690385235662
5.592203923618136,182.32754085644785,180.47109848695547,181.6660078557937
5.625690174657766,182.27215457088255,180.42004832449075,181.62418280402767
5.659176425697395,182.25588912169312,180.4056988097691,181.60821296212814
5.692662676737025,182.26952557002352,180.4188340496134,181.60020006461423
5.726148927776655,182.18326529764946,180.35145929486873,181.5422837641995
5.759635178816284,182.1456799787273,180.29246550495662,181.48707805567201
5.793121429855914,182.0817454466325,180.21962424625184,181.4090307524563
5.826607680895543,182.02097903825282,180.15659608256965,181.35237630745527
5.860093931935173,181.9626307545215,180.07145385725568,181.2684078776175
5.8935801829748025,181.97110162903294,180.06044167092202,181.24198135126775
5.9270664340144315,181.90377442747595,179.9391383103795,181.11605109595112
5.960552685054061,181.89968486869216,179.95318107557026,181.13100934085435
5.994038936093691,181.99658014493082,179.9926566033142,181.16439329781448
6.02752518713332,181.91451330076427,180.08722155902137,181.10411268367187
6.06101143817295,181.89051673168717,180.1126130048074,181.08479193714203
6.09449768921258,181.92086439686875,180.1357893885256,181.0987111236654
6.127983940252209,181.93358357912632,180.15005056567952,181.1007093094958
6.161470191291839,181.9791516578895,180.16918458325938,181.10495462220808
6.194956442331469,182.03653981111006,180.20727696336377,181.10932538678497
6.228442693371098,182.17696259183677,180.30427111445738,181.215723084592
6.261928944410728,182.30304619239007,180.3781716460711,181.2813332135874
6.2954151954503565,182.3629712082815,180.43567013120892,181.31719227285268
6.328901446489986,182.55091189114418,180.56720538196237,181.4532832422454
6.362387697529616,182.6241397951623,180.57513216802914,181.44737114255824
6.395873948569245,182.5987565646646,180.54205490829213,181.39929363511345
6.429360199608875,182.60185053552507,180.52592862561448,181.3485504672206
6.462846450648505,182.64132955966772,180.53274438848644,181.34531340471088
6.496332701688134,182.62742695050125,180.50754396778538,181.28867254727857
6.529818952727764,182.63424120818883,180.52073123502493,181.29631425129472
6.563305203767394,182.6719021493145,180.53237726512126,181.2907010058563
6.596791454807023,182.65436954618468,180.48216446756172,181.24630514274227
6.630277705846653,182.63606300380843,180.4416564025576,181.1813881776255
6.663763956886282,182.6694142281973,180.42611435097655,181.15500796333117
6.6972502079259115,182.7376861523886,180.40346765678106,181.15332595632654
6.730736458965541,182.73820703686394,180.37093383259918,181.11299720673378
6.76422271000517,182.64507354637848,180.27345146557036,181.01204055661933
6.7977089610448,182.6286723906215,180.26410319594865,180.97580132277
6.83119521208443,182.73763110920788,180.30359488885216,181.0068224942225
6.864681463124059,182.84052903666142,180.32530441853262,181.04545098922435
6.898167714163689,182.81537685074647,180.2756635386703,181.0101581455834
6.931653965203319,182.92498638923956,180.3268085892568,181.07037528701568
6.965140216242948,183.02801428404132,180.34897379542585,181.1223901304441
6.998626467282578,183.15139695407294,180.4189664834687,181.20760066684892
7.032112718322208,183.46266114202854,180.4816591749704,181.26195676557344
7.065598969361837,183.48847506756854,180.55471009796653,181.25893271255575
7.0990852204014665,183.5523283308002,180.64481411587093,181.34494470028034
7.1325714714410955,183.64694590353906,180.75589983786733,181.45084871402076
7.166057722480725,183.7985298556336,180.8961295321961,181.58790965455808
7.199543973520355,183.86333701200155,181.0113352502098,181.69421207960718
7.233030224559984,184.04411184705617,181.1969622151198,181.8610207375232
7.266516475599614,184.07731441321215,181.26132659371297,181.89871300928922
7.300002726639244,184.2552004726454,181.42526673840658,182.0603409383218
7.333488977678873,184.43767944232349,181.59452778308727,182.21779808038391
7.366975228718503,184.45692207629892,181.64112043343587,182.24817214811446
7.400461479758133,184.6146709002096,181.75166772850835,182.36778840696743
7.433947730797762,184.6649083492949,181.8375703377731,182.4351524626919
7.467433981837392,184.75980243297914,181.93388969857995,182.48987342757573
7.5009202328770215,184.80984769348944,181.98647339572335,182.5400511988426
7.5344064839166505,184.772615402718,181.99373241802087,182.5471234054579
7.56789273495628,184.83432964544983,182.00676042331932,182.5941952317119
7.601378985995909,184.69398195949321,181.94016239581356,182.51938594594478
7.634865237035539,184.76657677469734,181.9855008070429,182.563625759353
7.668351488075169,184.7144763457519,181.92867647729037,182.51335992625422
7.701837739114798,184.79388404727632,181.9898127719925,182.5831045653859
7.735323990154428,184.66074798133613,181.92215981103786,182.510446612037
7.768810241194058,184.6648016897963,181.96260237276147,182.5777733352114
7.802296492233687,184.66935161622996,182.005537187266,182.6206683417064
