Date/Time,999 [°C],
9/6/2025 2:49:38 P.M.,11.4,
9/6/2025 2:49:39 P.M.,11.9,
9/6/2025 2:49:40 P.M.,12.2,
9/6/2025 2:49:41 P.M.,12.4,
9/6/2025 2:49:42 P.M.,12.6,
9/6/2025 2:49:43 P.M.,12.9,
9/6/2025 2:49:44 P.M.,13.4,
9/6/2025 2:49:45 P.M.,13.7,
9/6/2025 2:49:46 P.M.,13.9,
9/6/2025 2:49:47 P.M.,14.1,
9/6/2025 2:49:48 P.M.,14.3,
9/6/2025 2:49:49 P.M.,14.5,
9/6/2025 2:49:50 P.M.,14.7,
9/6/2025 2:49:51 P.M.,14.9,
9/6/2025 2:49:52 P.M.,15.1,
9/6/2025 2:49:53 P.M.,15.3,
9/6/2025 2:49:54 P.M.,15.5,
9/6/2025 2:49:55 P.M.,15.7,
9/6/2025 2:49:56 P.M.,15.7,
9/6/2025 2:49:57 P.M.,15.9,
9/6/2025 2:49:58 P.M.,16.0,
9/6/2025 2:49:59 P.M.,16.1,
9/6/2025 2:50:00 P.M.,16.2,
9/6/2025 2:50:01 P.M.,16.3,
9/6/2025 2:50:02 P.M.,16.4,
9/6/2025 2:50:03 P.M.,16.5,
9/6/2025 2:50:04 P.M.,16.6,
9/6/2025 2:50:05 P.M.,16.6,
9/6/2025 2:50:06 P.M.,16.7,
9/6/2025 2:50:07 P.M.,16.8,
9/6/2025 2:50:08 P.M.,16.8,
9/6/2025 2:50:09 P.M.,16.9,
9/6/2025 2:50:10 P.M.,17.0,
9/6/2025 2:50:11 P.M.,17.0,
9/6/2025 2:50:12 P.M.,17.1,
9/6/2025 2:50:13 P.M.,17.1,
9/6/2025 2:50:14 P.M.,17.1,
9/6/2025 2:50:15 P.M.,17.2,
9/6/2025 2:50:16 P.M.,17.2,
9/6/2025 2:50:17 P.M.,17.2,
9/6/2025 2:50:18 P.M.,17.3,
9/6/2025 2:50:19 P.M.,17.3,
9/6/2025 2:50:20 P.M.,17.3,
9/6/2025 2:50:21 P.M.,17.3,
9/6/2025 2:50:22 P.M.,17.3,
9/6/2025 2:50:23 P.M.,17.4,
9/6/2025 2:50:24 P.M.,17.4,
9/6/2025 2:50:25 P.M.,17.4,
9/6/2025 2:50:26 P.M.,17.4,
9/6/2025 2:50:27 P.M.,17.4,
9/6/2025 2:50:28 P.M.,17.4,
9/6/2025 2:50:29 P.M.,17.5,
9/6/2025 2:50:30 P.M.,17.5,
9/6/2025 2:50:31 P.M.,17.5,
9/6/2025 2:50:32 P.M.,17.5,
9/6/2025 2:50:33 P.M.,17.5,
9/6/2025 2:50:34 P.M.,17.5,
9/6/2025 2:50:35 P.M.,17.5,
